Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,
2,6,4,0,0,50,1,caught,1,Bangladesh,Dhaka,08-Oct-99,ODI # 1510
117,-,62,18,4,188.7,2,bowled,1,Bangladesh,Dhaka,09-Oct-99,ODI # 1511
0,-,3,0,0,0,2,caught,2,Sri Lanka,Sharjah,13-Oct-99,ODI # 1512
8,-,13,1,0,61.53,2,caught,2,Pakistan,Sharjah,14-Oct-99,ODI # 1513
29,-,42,1,1,69.04,4,run out,1,Sri Lanka,Sharjah,17-Oct-99,ODI # 1515
30,-,51,0,1,58.82,4,caught,2,Pakistan,Sharjah,19-Oct-99,ODI # 1517
76,104,81,3,2,93.82,3,caught,1,New Zealand,Auckland,02-Jan-00,ODI # 1532
2,6,6,0,0,33.33,4,caught,1,New Zealand,Taupo,04-Jan-00,ODI # 1533
30,65,45,2,0,66.66,5,caught,1,New Zealand,Napier,06-Jan-00,ODI # 1534
5,10,8,1,0,62.5,4,lbw,1,New Zealand,Wellington,08-Jan-00,ODI # 1535
37,39,30,7,0,123.33,4,caught,2,New Zealand,Christchurch,11-Jan-00,ODI # 1538
60,71,63,6,1,95.23,4,caught,1,Zimbabwe,Bristol,06-Jul-00,ODI # 1605
TDNB,-,-,-,-,-,-,-,-,England,Lord's,09-Jul-00,ODI # 1609
3,33,21,0,0,14.28,4,bowled,2,Zimbabwe,Canterbury,11-Jul-00,ODI # 1611
54,122,101,3,0,53.46,3,caught,1,England,Chester-le-Street,15-Jul-00,ODI # 1615
87,102,76,6,3,114.47,3,bowled,1,Zimbabwe,Chester-le-Street,16-Jul-00,ODI # 1616
5,9,8,1,0,62.5,3,caught,2,Sri Lanka,Nairobi (Gym),04-Oct-00,ODI # 1631
28,66,48,4,0,58.33,3,caught,2,Australia,Melbourne,11-Jan-01,ODI # 1667
21,43,34,2,0,61.76,3,caught,2,Zimbabwe,Brisbane,13-Jan-01,ODI # 1669
19,44,29,3,0,65.51,3,caught,1,Australia,Brisbane,14-Jan-01,ODI # 1670
116*,143,106,10,2,109.43,4,not out,2,Australia,Sydney,17-Jan-01,ODI # 1672
0,11,7,0,0,0,4,lbw,2,Zimbabwe,Sydney,23-Jan-01,ODI # 1675
70,148,96,3,1,72.91,4,caught,1,Zimbabwe,Adelaide,25-Jan-01,ODI # 1676
0,2,1,0,0,0,4,lbw,1,Australia,Adelaide,26-Jan-01,ODI # 1677
83*,139,98,6,0,84.69,4,not out,1,Zimbabwe,Perth,02-Feb-01,ODI # 1681
35,50,38,7,0,92.1,4,caught,2,Australia,Sydney,07-Feb-01,ODI # 1685
0,4,6,0,0,0,3,caught,2,Australia,Melbourne,09-Feb-01,ODI # 1687
54,105,97,4,0,55.67,4,caught,2,South Africa,Kingston,28-Apr-01,ODI # 1712
13,46,38,0,0,34.21,3,caught,1,South Africa,St John's,02-May-01,ODI # 1713
31,65,39,4,0,79.48,4,bowled,2,South Africa,St George's,05-May-01,ODI # 1714
