Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
0,2,3,0,0,0,6,caught,1,Pakistan,Birmingham,19-Sep-04,ODI # 2179
78,74,62,10,2,125.8,6,caught,1,Pakistan,Kolkata,13-Nov-04,ODI # 2192
21,53,33,4,0,63.63,3,lbw,1,Bangladesh,Chattogram,23-Dec-04,ODI # 2199
4,13,8,1,0,50,3,caught,2,Bangladesh,Dhaka,26-Dec-04,ODI # 2201
69,34,32,8,3,215.62,6,caught,1,Bangladesh,Dhaka,27-Dec-04,ODI # 2202
16,26,22,2,0,72.72,5,caught,1,Pakistan,Kochi,02-Apr-05,ODI # 2235
15,21,10,2,0,150,6,lbw,1,Pakistan,Visakhapatnam,05-Apr-05,ODI # 2236
1,12,8,0,0,12.5,6,caught,2,Pakistan,Jamshedpur,09-Apr-05,ODI # 2237
35*,35,26,5,0,134.61,6,not out,1,Pakistan,Ahmedabad,12-Apr-05,ODI # 2238
18,38,33,4,0,54.54,5,bowled,1,Pakistan,Kanpur,15-Apr-05,ODI # 2239
13,26,17,2,0,76.47,5,run out,2,Pakistan,Delhi,17-Apr-05,ODI # 2240
12,47,33,2,0,36.36,3,caught,1,Sri Lanka,Dambulla,30-Jul-05,ODI # 2262
28,81,58,3,0,48.27,5,bowled,2,West Indies,Dambulla,31-Jul-05,ODI # 2263
110,149,114,11,1,96.49,5,caught,1,West Indies,Colombo (RPS),07-Aug-05,ODI # 2267
42,75,58,2,0,72.41,4,caught,2,Sri Lanka,Colombo (RPS),09-Aug-05,ODI # 2268
1,5,4,0,0,25,5,caught,2,New Zealand,Bulawayo,26-Aug-05,ODI # 2273
53*,-,71,3,1,74.64,5,not out,1,Zimbabwe,Harare,29-Aug-05,ODI # 2274
22,-,23,1,1,95.65,5,lbw,2,New Zealand,Harare,02-Sep-05,ODI # 2278
120,155,124,12,1,96.77,5,caught,2,Zimbabwe,Harare,04-Sep-05,ODI # 2280
20,29,32,1,0,62.5,5,caught,1,New Zealand,Harare,06-Sep-05,ODI # 2281
14,14,18,1,0,77.77,4,lbw,1,Sri Lanka,Nagpur,25-Oct-05,ODI # 2286
DNB,-,-,-,-,-,-,-,2,Sri Lanka,Mohali,28-Oct-05,ODI # 2287
18,48,24,3,0,75,5,bowled,2,Sri Lanka,Jaipur,31-Oct-05,ODI # 2290
10,10,10,2,0,100,3,caught,2,Sri Lanka,Pune,03-Nov-05,ODI # 2291
3,29,21,0,0,14.28,4,caught,1,Sri Lanka,Ahmedabad,06-Nov-05,ODI # 2294
79*,72,67,9,3,117.91,5,not out,2,Sri Lanka,Rajkot,09-Nov-05,ODI # 2295
0*,3,0,0,0,-,7,not out,2,Sri Lanka,Vadodara,12-Nov-05,ODI # 2296
103,192,122,10,3,84.42,5,run out,1,South Africa,Hyderabad (Deccan),16-Nov-05,ODI # 2297
4*,6,6,1,0,66.66,6,not out,2,South Africa,Bengaluru,19-Nov-05,ODI # 2298
53,103,78,7,0,67.94,6,lbw,1,South Africa,Kolkata,25-Nov-05,ODI # 2299
49,78,64,7,0,76.56,5,caught,2,South Africa,Mumbai,28-Nov-05,ODI # 2300
39,28,28,4,1,139.28,5,caught,1,Pakistan,Peshawar,06-Feb-06,ODI # 2324
82*,103,89,8,2,92.13,4,not out,2,Pakistan,Rawalpindi,11-Feb-06,ODI # 2327
79*,135,87,10,0,90.8,5,not out,2,Pakistan,Lahore,13-Feb-06,ODI # 2329
37,72,57,6,0,64.91,4,caught,2,Pakistan,Multan,16-Feb-06,ODI # 2331
107*,155,93,14,0,115.05,3,not out,2,Pakistan,Karachi,19-Feb-06,ODI # 2333
1,5,6,0,0,16.66,4,bowled,1,England,Delhi,28-Mar-06,ODI # 2357
18,38,20,4,0,90,4,bowled,2,England,Faridabad,31-Mar-06,ODI # 2358
103,114,76,10,3,135.52,4,caught,1,England,Margao,03-Apr-06,ODI # 2359
48,73,55,6,0,87.27,5,caught,2,England,Kochi,06-Apr-06,ODI # 2360
4,15,11,0,0,36.36,4,bowled,1,England,Jamshedpur,12-Apr-06,ODI # 2361
