Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
33,59,40,4,0,82.5,2,caught,2,India,Johannesburg,10-Feb-18,ODI # 3973
71,151,92,5,0,77.17,1,run out,2,India,Port Elizabeth,13-Feb-18,ODI # 3976
10,25,19,2,0,52.63,2,caught,1,India,Centurion,16-Feb-18,ODI # 3978
19,-,14,3,0,135.71,1,bowled,2,Sri Lanka,Dambulla,29-Jul-18,ODI # 4025
43,-,43,6,0,100,2,caught,2,Sri Lanka,Dambulla,01-Aug-18,ODI # 4027
59,-,59,9,1,100,1,bowled,1,Sri Lanka,Pallekele,05-Aug-18,ODI # 4029
40,-,23,6,0,173.91,2,caught,2,Sri Lanka,Pallekele,08-Aug-18,ODI # 4030
0,-,4,0,0,0,1,bowled,2,Sri Lanka,Colombo (RPS),12-Aug-18,ODI # 4031
108*,212,120,7,1,90,1,not out,1,Pakistan,Port Elizabeth,19-Jan-19,ODI # 4080
8,7,5,2,0,160,2,bowled,2,Pakistan,Durban,22-Jan-19,ODI # 4081
25,39,30,3,0,83.33,2,caught,2,Pakistan,Centurion,25-Jan-19,ODI # 4084
59,131,75,7,0,78.66,1,bowled,1,Pakistan,Johannesburg,27-Jan-19,ODI # 4087
14,30,17,2,0,82.35,2,caught,2,Pakistan,Cape Town,30-Jan-19,ODI # 4090
13,46,23,1,0,56.52,2,caught,2,England,The Oval,30-May-19,ODI # 4143
6,16,9,1,0,66.66,1,caught,1,India,Southampton,05-Jun-19,ODI # 4150
6,13,7,1,0,85.71,2,caught,1,West Indies,Southampton,10-Jun-19,ODI # 4156
41*,105,83,4,0,49.39,1,not out,2,Afghanistan,Cardiff,15-Jun-19,ODI # 4160
55,111,83,4,0,66.26,2,bowled,1,New Zealand,Birmingham,19-Jun-19,ODI # 4165
2,7,3,0,0,66.66,1,lbw,2,Pakistan,Lord's,23-Jun-19,ODI # 4171
80*,167,105,5,0,76.19,2,not out,2,Sri Lanka,Chester-le-Street,28-Jun-19,ODI # 4176
