Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
DNB,-,-,-,-,-,-,-,2,Afghanistan,Sydney,13-Mar-15,ODI # 3635
104,108,78,13,2,133.33,3,caught,1,New Zealand,Birmingham,09-Jun-15,ODI # 3654
6,11,10,0,0,60,3,caught,2,New Zealand,The Oval,12-Jun-15,ODI # 3655
54,90,63,6,0,85.71,3,bowled,1,New Zealand,Southampton,14-Jun-15,ODI # 3656
106*,139,97,13,0,109.27,3,not out,2,New Zealand,Nottingham,17-Jun-15,ODI # 3657
4,8,5,1,0,80,3,stumped,2,New Zealand,Chester-le-Street,20-Jun-15,ODI # 3659
0,8,7,0,0,0,3,lbw,1,Pakistan,Abu Dhabi,11-Nov-15,ODI # 3707
63,121,77,3,0,81.81,3,bowled,1,Pakistan,Abu Dhabi,13-Nov-15,ODI # 3708
11,15,14,1,0,78.57,3,caught,2,Pakistan,Sharjah,17-Nov-15,ODI # 3710
71,105,71,3,2,100,3,stumped,1,Pakistan,Dubai (DSC),20-Nov-15,ODI # 3712
52,97,58,4,1,89.65,3,bowled,1,South Africa,Bloemfontein,03-Feb-16,ODI # 3732
38,93,64,2,0,59.37,3,bowled,2,South Africa,Port Elizabeth,06-Feb-16,ODI # 3734
125,165,113,10,5,110.61,3,run out,1,South Africa,Centurion,09-Feb-16,ODI # 3736
109,-,124,10,1,87.9,3,caught,1,South Africa,Johannesburg,12-Feb-16,ODI # 3737
27,41,25,4,0,108,3,lbw,1,South Africa,Cape Town,14-Feb-16,ODI # 3738
2,19,6,0,0,33.33,3,bowled,2,Sri Lanka,Nottingham,21-Jun-16,ODI # 3751
DNB,-,-,-,-,-,-,-,2,Sri Lanka,Birmingham,24-Jun-16,ODI # 3753
11*,15,16,1,0,68.75,3,not out,2,Sri Lanka,Bristol,26-Jun-16,ODI # 3755
65,83,54,9,0,120.37,3,caught,2,Sri Lanka,The Oval,29-Jun-16,ODI # 3757
93,149,106,6,0,87.73,3,bowled,1,Sri Lanka,Cardiff,02-Jul-16,ODI # 3758
61,101,72,6,0,84.72,3,run out,2,Pakistan,Southampton,24-Aug-16,ODI # 3770
89,201,108,5,0,82.4,3,caught,2,Pakistan,Lord's,27-Aug-16,ODI # 3771
85,146,86,8,0,98.83,3,caught,1,Pakistan,Nottingham,30-Aug-16,ODI # 3773
30,45,26,5,1,115.38,3,caught,2,Pakistan,Leeds,01-Sep-16,ODI # 3775
9,21,9,1,0,100,3,bowled,1,Pakistan,Cardiff,04-Sep-16,ODI # 3777
78,141,95,4,1,82.1,3,caught,1,India,Pune,15-Jan-17,ODI # 3819
54,65,55,8,0,98.18,3,caught,2,India,Cuttack,19-Jan-17,ODI # 3821
4,9,5,0,0,80,3,bowled,1,West Indies,North Sound,03-Mar-17,ODI # 3845
90*,195,127,3,0,70.86,3,not out,2,West Indies,North Sound,05-Mar-17,ODI # 3848
101,-,108,10,0,93.51,3,caught,1,West Indies,Bridgetown,09-Mar-17,ODI # 3849
49*,78,52,7,0,94.23,3,not out,2,Ireland,Bristol,05-May-17,ODI # 3864
73,106,73,8,0,100,3,caught,1,Ireland,Lord's,07-May-17,ODI # 3865
37,93,51,2,0,72.54,3,caught,1,South Africa,Leeds,24-May-17,ODI # 3872
39,50,41,6,0,95.12,3,run out,1,South Africa,Southampton,27-May-17,ODI # 3873
2,6,5,0,0,40,3,lbw,1,South Africa,Lord's,29-May-17,ODI # 3874
133*,202,129,11,1,103.1,3,not out,2,Bangladesh,The Oval,01-Jun-17,ODI # 3875
64,122,65,4,2,98.46,3,bowled,1,New Zealand,Cardiff,06-Jun-17,ODI # 3880
15,25,14,2,0,107.14,3,caught,2,Australia,Birmingham,10-Jun-17,ODI # 3885
46,82,56,2,0,82.14,3,caught,1,Pakistan,Cardiff,14-Jun-17,ODI # 3889
54,77,53,4,0,101.88,3,bowled,2,West Indies,Manchester,19-Sep-17,ODI # 3911
DNB,-,-,-,-,-,-,-,1,West Indies,Nottingham,21-Sep-17,ODI # 3913
84,120,79,7,2,106.32,3,lbw,1,West Indies,Bristol,24-Sep-17,ODI # 3915
14,-,15,2,0,93.33,3,caught,2,West Indies,The Oval,27-Sep-17,ODI # 3916
46*,-,44,2,1,104.54,3,not out,2,West Indies,Southampton,29-Sep-17,ODI # 3918
91*,186,110,5,0,82.72,4,not out,2,Australia,Melbourne,14-Jan-18,ODI # 3951
46*,-,58,1,0,79.31,4,not out,2,Australia,Brisbane,19-Jan-18,ODI # 3958
27,-,31,1,0,87.09,4,bowled,1,Australia,Sydney,21-Jan-18,ODI # 3960
0,-,7,0,0,0,4,caught,1,Australia,Adelaide,26-Jan-18,ODI # 3966
62,-,68,2,0,91.17,4,caught,1,Australia,Perth,28-Jan-18,ODI # 3968
71,124,75,5,1,94.66,3,bowled,1,New Zealand,Hamilton,25-Feb-18,ODI # 3980
9,26,18,1,0,50,3,caught,2,New Zealand,Mount Maunganui,28-Feb-18,ODI # 3981
20,26,22,3,0,90.9,3,caught,1,New Zealand,Wellington,03-Mar-18,ODI # 3982
102,155,101,6,2,100.99,3,caught,1,New Zealand,Dunedin,07-Mar-18,ODI # 3989
23*,47,37,1,0,62.16,3,not out,2,New Zealand,Christchurch,10-Mar-18,ODI # 3992
29,-,25,3,1,116,4,run out,2,Scotland,Edinburgh,10-Jun-18,ODI # 4008
50,111,71,4,0,70.42,4,caught,2,Australia,The Oval,13-Jun-18,ODI # 4009
22,40,24,2,0,91.66,4,caught,1,Australia,Cardiff,16-Jun-18,ODI # 4010
4*,-,6,0,0,66.66,7,not out,1,Australia,Nottingham,19-Jun-18,ODI # 4011
27,-,35,2,1,77.14,4,bowled,2,Australia,Chester-le-Street,21-Jun-18,ODI # 4012
1,-,3,0,0,33.33,4,caught,2,Australia,Manchester,24-Jun-18,ODI # 4013
3,-,6,0,0,50,3,lbw,1,India,Nottingham,12-Jul-18,ODI # 4014
113*,-,116,8,1,97.41,3,not out,1,India,Lord's,14-Jul-18,ODI # 4016
100*,155,120,10,0,83.33,3,not out,2,India,Leeds,17-Jul-18,ODI # 4018
25*,-,28,4,0,89.28,3,not out,1,Sri Lanka,Dambulla,10-Oct-18,ODI # 4052
71,116,83,6,0,85.54,3,caught,1,Sri Lanka,Dambulla,13-Oct-18,ODI # 4053
8,-,10,1,0,80,3,bowled,2,Sri Lanka,Pallekele,17-Oct-18,ODI # 4054
32*,-,57,0,0,56.14,3,not out,2,Sri Lanka,Pallekele,20-Oct-18,ODI # 4055
10,-,16,0,0,62.5,3,caught,2,Sri Lanka,Colombo (RPS),23-Oct-18,ODI # 4058
102,167,97,9,0,105.15,3,caught,2,West Indies,Bridgetown,20-Feb-19,ODI # 4096
36,58,40,6,0,90,3,caught,2,West Indies,Bridgetown,22-Feb-19,ODI # 4097
TDNB,-,-,-,-,-,-,-,-,West Indies,St George's,25-Feb-19,ODI # 4098
5,-,10,0,0,50,3,caught,1,West Indies,St George's,27-Feb-19,ODI # 4099
1,-,2,0,0,50,3,caught,1,West Indies,Gros Islet,02-Mar-19,ODI # 4103
7,8,6,1,0,116.66,3,lbw,2,Ireland,Dublin (Malahide),03-May-19,ODI # 4127
TDNB,-,-,-,-,-,-,-,-,Pakistan,The Oval,08-May-19,ODI # 4130
40,69,54,3,0,74.07,3,caught,1,Pakistan,Southampton,11-May-19,ODI # 4133
43,79,36,4,1,119.44,3,caught,2,Pakistan,Bristol,14-May-19,ODI # 4135
36,68,41,3,0,87.8,3,caught,2,Pakistan,Nottingham,17-May-19,ODI # 4138
84,112,73,9,0,115.06,3,caught,1,Pakistan,Leeds,19-May-19,ODI # 4140
51,83,59,5,0,86.44,3,caught,1,South Africa,The Oval,30-May-19,ODI # 4143
107,168,104,10,1,102.88,3,caught,2,Pakistan,Nottingham,03-Jun-19,ODI # 4148
21,54,29,1,0,72.41,3,bowled,1,Bangladesh,Cardiff,08-Jun-19,ODI # 4153
100*,164,94,11,0,106.38,2,not out,2,West Indies,Southampton,14-Jun-19,ODI # 4158
88,155,82,5,1,107.31,3,caught,1,Afghanistan,Manchester,18-Jun-19,ODI # 4163
57,126,89,3,0,64.04,3,caught,2,Sri Lanka,Leeds,21-Jun-19,ODI # 4168
8,16,9,2,0,88.88,3,lbw,2,Australia,Lord's,25-Jun-19,ODI # 4173
44,96,54,2,0,81.48,3,caught,1,India,Birmingham,30-Jun-19,ODI # 4179
24,54,25,1,0,96,3,caught,1,New Zealand,Chester-le-Street,03-Jul-19,ODI # 4183
49*,67,46,8,0,106.52,3,not out,2,Australia,Birmingham,11-Jul-19,ODI # 4191
7,40,30,0,0,23.33,3,caught,2,New Zealand,Lord's,14-Jul-19,ODI # 4192
